CL-Symbol,Type,golisp2,Kurzbeschreibung
MAPLIST,Kern,N,Apply FUNCTION to successive tuples of CDRs of LIST and MORE-LISTS. Return list of results.
MASK-FIELD,Kern,N,"Extract the specified byte from integer, but do not right justify result."
MAX,Kern,J,"Return the greatest of its arguments; among EQUALP greatest, return the first."
MEMBER,Kern,J,"Return the tail of LIST beginning with first element satisfying EQLity, :TEST, or :TEST-NOT with the given ITEM."
MEMBER-IF,Kern,N,Return tail of LIST beginning with first element satisfying TEST.
MEMBER-IF-NOT,Kern,N,Return tail of LIST beginning with first element not satisfying TEST.
MERGE,Kern,N,Merge the sequences SEQUENCE1 and SEQUENCE2 destructively into a sequence of type RESULT-TYPE using PREDICATE to order the elements.
MERGE-PATHNAMES,Kern,N,Construct a filled in pathname by completing the unspecified components from the defaults.
METHOD,Kern,N,Type: method metaobject.
METHOD-COMBINATION,Kern,N,Type: method combination metaobject.
METHOD-COMBINATION-ERROR,Kern,N,Signals a method-combination error.
METHOD-QUALIFIERS,Kern,N,Reader: qualifiers of a method.
MIN,Kern,J,"Return the least of its arguments; among EQUALP least, return the first."
MINUSP,Kern,N,Is this real number strictly negative?
MISMATCH,Kern,N,"The specified subsequences of SEQUENCE1 and SEQUENCE2 are compared element-wise. If they are of equal length and match in every element, the result is NIL. Otherwise, the result is a non-negative inte"
MOD,Kern,J,Return second result of FLOOR.
MOST-NEGATIVE-DOUBLE-FLOAT,Kern,N,Most negative representable double-float.
MOST-NEGATIVE-FIXNUM,Kern,N,the fixnum closest in value to negative infinity
MOST-NEGATIVE-LONG-FLOAT,Kern,N,Most negative representable long-float.
MOST-NEGATIVE-SHORT-FLOAT,Kern,N,Most negative representable short-float.
MOST-NEGATIVE-SINGLE-FLOAT,Kern,N,Most negative representable single-float.
MOST-POSITIVE-DOUBLE-FLOAT,Kern,N,Most positive representable double-float.
MOST-POSITIVE-FIXNUM,Kern,N,the fixnum closest in value to positive infinity
MOST-POSITIVE-LONG-FLOAT,Kern,N,Most positive representable long-float.
MOST-POSITIVE-SHORT-FLOAT,Kern,N,Most positive representable short-float.
MOST-POSITIVE-SINGLE-FLOAT,Kern,N,Most positive representable single-float.
MUFFLE-WARNING,Kern,N,"Transfer control to a restart named MUFFLE-WARNING, signalling a CONTROL-ERROR if none exists."
MULTIPLE-VALUE-BIND,Macro,J,Macro: binds multiple values to variables.
MULTIPLE-VALUE-CALL,Kern,J,"MULTIPLE-VALUE-CALL function values-form* Call FUNCTION, passing all the values of each VALUES-FORM as arguments, values from the first VALUES-FORM making up the first argument, etc."
MULTIPLE-VALUE-LIST,Macro,J,Macro: list of all multiple values.
MULTIPLE-VALUE-PROG1,Kern,J,"MULTIPLE-VALUE-PROG1 values-form form* Evaluate VALUES-FORM and then the FORMS, but return all the values of VALUES-FORM."
MULTIPLE-VALUE-SETQ,Macro,J,Macro: assigns first value to a variable.
MULTIPLE-VALUES-LIMIT,Kern,N,The exclusive upper bound on the number of multiple VALUES that you can return.
NAME-CHAR,Kern,N,"Given an argument acceptable to STRING, NAME-CHAR returns a character whose name is that string, if one exists. Otherwise, NIL is returned."
NAMESTRING,Kern,N,Construct the full (name)string form PATHNAME.
NBUTLAST,Kern,N,Destructive butlast: removes last elements in place.
NCONC,Kern,N,Concatenates the lists given as arguments (by changing them)
NEXT-METHOD-P,Kern,N,Predicate: is there a next applicable method? (CLOS)
NIL,Kern,J,Constant: empty list and boolean false.
NINTERSECTION,Kern,N,Destructively return the intersection of LIST1 and LIST2.
NINTH,Kern,N,Return the 9th object in a list or NIL if there is no 9th object.
NO-APPLICABLE-METHOD,Kern,N,Called when no method applies to args.
NO-NEXT-METHOD,Kern,N,Called when call-next-method has no next method.
NOT,Kern,J,"Return T if X is NIL, otherwise return NIL."
NOTANY,Kern,N,"Apply PREDICATE to the 0-indexed elements of the sequences, then possibly to those with index 1, and so on. Return NIL as soon as any invocation of PREDICATE returns a non-NIL value, or T if the end o"
NOTEVERY,Kern,N,"Apply PREDICATE to 0-indexed elements of the sequences, then possibly to those with index 1, and so on. Return T as soon as any invocation of PREDICATE returns NIL, or NIL if every invocation is non-N"
NOTINLINE,Kern,N,Declaration: function must not be inlined.
NRECONC,Kern,N,Return (NCONC (NREVERSE X) Y).
NREVERSE,Kern,N,Return a sequence of the same elements in reverse order; the argument is destroyed.
NSET-DIFFERENCE,Kern,N,Destructively return the elements of LIST1 which are not in LIST2.
NSET-EXCLUSIVE-OR,Kern,N,Destructively return a list with elements which appear but once in LIST1 and LIST2.
NSTRING-CAPITALIZE,Kern,N,Destructive: capitalize each word in string.
NSTRING-DOWNCASE,Kern,N,Destructive: lowercase string in place.
NSTRING-UPCASE,Kern,N,Destructive: uppercase string in place.
NSUBLIS,Kern,N,Substitute from ALIST into TREE destructively.
NSUBST,Kern,N,Substitute NEW for subtrees matching OLD.
NSUBST-IF,Kern,N,Substitute NEW for subtrees of TREE for which TEST is true.
NSUBST-IF-NOT,Kern,N,Substitute NEW for subtrees of TREE for which TEST is false.
NSUBSTITUTE,Kern,N,Return a sequence of the same kind as SEQUENCE with the same elements except that all elements equal to OLD are replaced with NEW. SEQUENCE may be destructively modified.
NSUBSTITUTE-IF,Kern,N,Return a sequence of the same kind as SEQUENCE with the same elements except that all elements satisfying PREDICATE are replaced with NEW. SEQUENCE may be destructively modified.
NSUBSTITUTE-IF-NOT,Kern,N,Return a sequence of the same kind as SEQUENCE with the same elements except that all elements not satisfying PREDICATE are replaced with NEW. SEQUENCE may be destructively modified.
NTH,Kern,J,Return the nth object in a list where the car is the zero-th element.
NTH-VALUE,Macro,J,Evaluate FORM and return the Nth value (zero based) without consing a temporary list of values.
NTHCDR,Kern,N,Performs the cdr function n times on a list.
NULL,Kern,J,"Return true if OBJECT is a NULL, and NIL otherwise."
NUMBER,Kern,N,Type: root of all numeric types.
NUMBERP,Kern,N,"Return true if OBJECT is a NUMBER, and NIL otherwise."
NUMERATOR,Kern,N,"Return the numerator of NUMBER, which must be rational."
NUNION,Kern,N,Destructively return the union of LIST1 and LIST2.
ODDP,Kern,N,Is this integer odd?
OPEN,Kern,N,"Return a stream which reads from or writes to FILENAME. Defined keywords: :DIRECTION - one of :INPUT, :OUTPUT, :IO, or :PROBE :ELEMENT-TYPE - the type of object to read or write, default CHARACTER :IF"
OPEN-STREAM-P,Kern,N,Return true if STREAM is not closed. A default method is provided by class FUNDAMENTAL-STREAM which returns true if CLOSE has not been called on the stream.
OPTIMIZE,Kern,N,Declaration specifier for compile-quality options.
OR,Macro,J,"Macro: logical OR, short-circuit; first true value."
OTHERWISE,Kern,N,Clause keyword: default case in case/typecase.
OUTPUT-STREAM-P,Kern,N,Can STREAM perform output operations?
PACKAGE,Kern,N,the standard structure for the description of a package
PACKAGE-ERROR,Kern,N,Condition type for package errors.
PACKAGE-ERROR-PACKAGE,Kern,N,Reader: package of a package-error condition.
PACKAGE-NAME,Kern,N,Reader: name string of a package.
PACKAGE-NICKNAMES,Kern,N,Reader: list of nickname strings of a package.
PACKAGE-SHADOWING-SYMBOLS,Kern,N,Reader: shadowing symbols of a package.
PACKAGE-USE-LIST,Kern,N,Reader: packages used by a package.
PACKAGE-USED-BY-LIST,Kern,N,Reader: packages using a package.
PACKAGEP,Kern,N,Predicate: is the argument a package?
PAIRLIS,Kern,N,Construct an association list from KEYS and DATA (adding to ALIST).
PARSE-ERROR,Kern,N,Condition type for parse errors.
PARSE-INTEGER,Kern,N,Examine the substring of string delimited by start and end (default to the beginning and end of the string) It skips over whitespace characters and then tries to parse an integer. The radix parameter 
PARSE-NAMESTRING,Kern,N,Parses a string into a pathname.
PATHNAME,Kern,N,Convert PATHSPEC (a pathname designator) into a pathname.
PATHNAME-DEVICE,Kern,N,Return PATHNAME's device.
PATHNAME-DIRECTORY,Kern,N,Return PATHNAME's directory.
PATHNAME-HOST,Kern,N,Return PATHNAME's host.
PATHNAME-MATCH-P,Kern,N,Pathname matches the wildname template?
PATHNAME-NAME,Kern,N,Return PATHNAME's name.
PATHNAME-TYPE,Kern,N,Return PATHNAME's type.
PATHNAME-VERSION,Kern,N,Return PATHNAME's version.
PATHNAMEP,Kern,N,Predicate: is the argument a pathname?
PEEK-CHAR,Kern,N,Reads a char without consuming it from stream.
PHASE,Kern,N,"Return the angle part of the polar representation of a complex number. For complex numbers, this is (atan (imagpart number) (realpart number)). For non-complex positive numbers, this is 0. For non-com"
PI,Kern,N,Constant: ratio of circumference to diameter (float).
PLUSP,Kern,N,Is this real number strictly positive?
POP,Macro,J,The argument is a location holding a list. Pops one item off the front of the list and returns it.
POSITION,Kern,N,Index of first element eq to item in a sequence.
POSITION-IF,Kern,N,Index of first element satisfying predicate.
POSITION-IF-NOT,Kern,N,Index of first element not satisfying predicate.
PPRINT,Kern,N,Prettily output OBJECT preceded by a newline.
PPRINT-DISPATCH,Kern,N,Current pprint-dispatch table.
PPRINT-EXIT-IF-LIST-EXHAUSTED,Macro,N,"Cause the closest enclosing use of PPRINT-LOGICAL-BLOCK to return if its list argument is exhausted. Can only be used inside PPRINT-LOGICAL-BLOCK, and only when the LIST argument to PPRINT-LOGICAL-BLO"
PPRINT-FILL,Kern,N,"Output LIST to STREAM putting :FILL conditional newlines between each element. If COLON? is NIL (defaults to T), then no parens are printed around the output. ATSIGN? is ignored (but allowed so that P"
PPRINT-INDENT,Kern,N,Specify the indentation to use in the current logical block if STREAM (which defaults to *STANDARD-OUTPUT*) is a pretty-printing stream and do nothing if not. (See PPRINT-LOGICAL-BLOCK.) N is the inde
PPRINT-LINEAR,Kern,N,"Output LIST to STREAM putting :LINEAR conditional newlines between each element. If COLON? is NIL (defaults to T), then no parens are printed around the output. ATSIGN? is ignored (but allowed so that"
PPRINT-LOGICAL-BLOCK,Macro,N,"Group some output into a logical block. STREAM-SYMBOL should be either a stream, T (for *TERMINAL-IO*), or NIL (for *STANDARD-OUTPUT*). The printer control variable *PRINT-LEVEL* is automatically hand"
PPRINT-NEWLINE,Kern,N,"Output a conditional newline to STREAM (which defaults to *STANDARD-OUTPUT*) if it is a pretty-printing stream, and do nothing if not. KIND can be one of: :LINEAR - A line break is inserted if and onl"
PPRINT-POP,Macro,N,"Return the next element from LIST argument to the closest enclosing use of PPRINT-LOGICAL-BLOCK, automatically handling *PRINT-LENGTH* and *PRINT-CIRCLE*. Can only be used inside PPRINT-LOGICAL-BLOCK."
PPRINT-TAB,Kern,N,"If STREAM (which defaults to *STANDARD-OUTPUT*) is a pretty-printing stream, perform tabbing based on KIND, otherwise do nothing. KIND can be one of: :LINE - Tab to column COLNUM. If already past COLN"
PPRINT-TABULAR,Kern,N,Output LIST to STREAM tabbing to the next column that is an even multiple of TABSIZE (which defaults to 16) between each element. :FILL style conditional newlines are also output between each element.
PRIN1,Kern,N,Output a mostly READable printed representation of OBJECT on the specified STREAM.
PRIN1-TO-STRING,Kern,N,Return the printed representation of OBJECT as a string with slashification on.
PRINC,Kern,N,Output an aesthetic but not necessarily READable printed representation of OBJECT on the specified STREAM.
PRINC-TO-STRING,Kern,N,Return the printed representation of OBJECT as a string with slashification off.
PRINT,Kern,J,"Output a newline, the mostly READable printed representation of OBJECT, and space to the specified STREAM."
PRINT-NOT-READABLE,Kern,N,Condition: object cannot be printed readably.
PRINT-NOT-READABLE-OBJECT,Kern,N,Reader: object of a print-not-readable condition.
PRINT-OBJECT,Kern,N,Generic function: prints an object (CLOS).
PRINT-UNREADABLE-OBJECT,Macro,N,"Output OBJECT to STREAM with ""#<"" prefix, "">"" suffix, optionally with object-type prefix and object-identity suffix, and executing the code in BODY to provide possible further output."
PROBE-FILE,Kern,N,"Return the truename of PATHSPEC if the truename can be found, or NIL otherwise. See TRUENAME for more information."
PROCLAIM,Kern,N,Globally proclaims a declaration at runtime.
PROG,Macro,N,Macro: block named NIL with tagbody and let bindings.
PROG*,Macro,N,Macro: like prog with sequential (let*) bindings.
PROG1,Macro,J,"Macro: evaluates forms, returns first value."
PROG2,Macro,J,"Macro: evaluates forms, returns second value."
PROGN,Kern,N,"PROGN form* Evaluates each FORM in order, returning the values of the last form. With no forms, returns NIL."
PROGRAM-ERROR,Kern,N,Condition type for program errors.
PROGV,Kern,J,Special form: binds dynamic variables by name/value lists.
PROVIDE,Kern,N,Adds a new module name to *MODULES* indicating that it has been loaded. Module-name is a string designator
PSETF,Macro,N,"This is to SETF as PSETQ is to SETQ. Args are alternating place expressions and values to go into those places. All of the subforms and values are determined, left to right, and only then are the loca"
PSETQ,Macro,J,"PSETQ {var value}* Set the variables to the values, like SETQ, except that assignments happen in parallel, i.e. no assignments take place until all the forms have been evaluated."
PUSH,Macro,J,"Takes an object and a location holding a list. Conses the object onto the list, returning the modified list. OBJ is evaluated before PLACE."
PUSHNEW,Macro,N,"Takes an object and a location holding a list. If the object is already in the list, does nothing; otherwise, conses the object onto the list. Keyword arguments are accepted as per the ADJOIN function"
QUOTE,Kern,J,QUOTE value Return VALUE without evaluating it.
RANDOM,Kern,J,Returns a random number in a range.
RANDOM-STATE,Kern,N,Type: state of the random number generator.
RANDOM-STATE-P,Kern,N,Predicate: is the argument a random-state?
RASSOC,Kern,N,Return the cons in ALIST whose CDR is equal (by a given test or EQL) to the ITEM.
RASSOC-IF,Kern,N,"Return the first cons in ALIST whose CDR satisfies PREDICATE. If KEY is supplied, apply it to the CDR of each cons before testing."
RASSOC-IF-NOT,Kern,N,"Return the first cons in ALIST whose CDR does not satisfy PREDICATE. If KEY is supplied, apply it to the CDR of each cons before testing."
RATIO,Kern,N,Type: ratio of two integers.
RATIONAL,Kern,N,"RATIONAL produces a rational number for any real numeric argument. This is more efficient than RATIONALIZE, but it assumes that floating-point is completely accurate, giving a result that isn't as pre"
RATIONALIZE,Kern,N,Converts any REAL to a RATIONAL. Floats are converted to a simple rational representation exploiting the assumption that floats are only accurate to their precision. RATIONALIZE (and also RATIONAL) pr
RATIONALP,Kern,N,"Return true if OBJECT is a RATIONAL, and NIL otherwise."
READ,Kern,J,"Read the next Lisp value from STREAM, and return it."
READ-BYTE,Kern,N,Reads a byte from a binary stream.
READ-CHAR,Kern,N,Reads a character from a stream.
READ-CHAR-NO-HANG,Kern,N,Reads a char without blocking.
READ-DELIMITED-LIST,Kern,N,"Read Lisp values from INPUT-STREAM until the next character after a value's representation is ENDCHAR, and return the objects as a list."
READ-FROM-STRING,Kern,N,The characters of string are successively given to the lisp reader and the lisp object built by the reader is returned. Macro chars will take effect.
READ-LINE,Kern,N,Reads a line as a string from a stream.
READ-PRESERVING-WHITESPACE,Kern,N,"Read from STREAM and return the value read, preserving any whitespace that followed the object."
READ-SEQUENCE,Kern,N,Destructively modify SEQ by reading elements from STREAM. That part of SEQ bounded by START and END is destructively modified by copying successive elements into it from STREAM. If the end of file for
READER-ERROR,Kern,N,Condition: error during reading (parse/stream).
READTABLE,Kern,N,A READTABLE is a data structure that maps characters into syntax types for the Common Lisp expression reader.
READTABLE-CASE,Kern,N,Reader: case sensitivity mode of a readtable.
READTABLEP,Kern,N,Predicate: is the argument a readtable?
REAL,Kern,N,Type: real number (rational or float).
REALP,Kern,N,"Return true if OBJECT is a REAL, and NIL otherwise."
REALPART,Kern,N,Extract the real part of a number.
REDUCE,Kern,J,Folds a function over a sequence into a value.
REINITIALIZE-INSTANCE,Kern,N,Reinitializes an existing instance (CLOS).
REM,Kern,N,Return second result of TRUNCATE.
REMF,Macro,N,"Place may be any place expression acceptable to SETF, and is expected to hold a property list or (). This list is destructively altered to remove the property specified by the indicator. Returns T if "
REMHASH,Kern,J,"Remove the entry in HASH-TABLE associated with KEY. Return T if there was such an entry, or NIL if not."
REMOVE,Kern,N,Return a copy of SEQUENCE with elements satisfying the test (default is EQL) with ITEM removed.
REMOVE-DUPLICATES,Kern,N,"The elements of SEQUENCE are compared pairwise, and if any two match, the one occurring earlier is discarded, unless FROM-END is true, in which case the one later in the sequence is discarded. The res"
REMOVE-IF,Kern,N,Return a copy of sequence with elements satisfying PREDICATE removed.
REMOVE-IF-NOT,Kern,N,Return a copy of sequence with elements not satisfying PREDICATE removed.
REMOVE-METHOD,Kern,N,Removes a method from a generic function.
REMPROP,Kern,N,"Look on property list of SYMBOL for property with specified INDICATOR. If found, splice this indicator and its value out of the plist, and return the tail of the original list starting with INDICATOR."
RENAME-FILE,Kern,N,"Rename FILE to have the specified NEW-NAME. If FILE is a stream open to a file, then the associated file is renamed."
RENAME-PACKAGE,Kern,N,Changes the name and nicknames for a package.
REPLACE,Kern,N,"Destructively modifies SEQUENCE1 by copying successive elements into it from the SEQUENCE2. Elements are copied to the subsequence bounded by START1 and END1, from the subsequence bounded by START2 an"
REQUIRE,Kern,N,"Loads a module, unless it already has been loaded. PATHNAMES, if supplied, is a designator for a list of pathnames to be loaded if the module needs to be. If PATHNAMES is not supplied, functions from "
REST,Kern,J,Means the same as the cdr of a list.
RESTART,Kern,N,Type: restart object for condition handling.
RESTART-BIND,Macro,N,(RESTART-BIND ({(case-name function {keyword value}*)}*) forms) Executes forms in a dynamic context where the given bindings are in effect. Users probably want to use RESTART-CASE. A case-name of NIL 
RESTART-CASE,Macro,N,(RESTART-CASE form {(case-name arg-list {keyword value}* body)}*) The form is evaluated in a dynamic context where the clauses have special meanings as points to which control may be transferred (see 
RESTART-NAME,Kern,N,Return the name of the given restart object.
RETURN,Macro,J,Macro: returns from block named NIL.
RETURN-FROM,Kern,J,"RETURN-FROM name value Evaluate the VALUE, returning its values from the lexically enclosing block NAME. This is constrained to be used only within the dynamic extent of the block."
REVAPPEND,Kern,N,Return (append (reverse x) y).
REVERSE,Kern,J,Return a new sequence containing the same elements but in reverse order.
ROOM,Kern,N,"Print to *STANDARD-OUTPUT* information about the state of internal storage and its management. The optional argument controls the verbosity of output. If it is T, ROOM prints out a maximal amount of i"
ROTATEF,Macro,N,"Takes any number of SETF-style place expressions. Evaluates all of the expressions in turn, then assigns to each place the value of the form to its right. The rightmost form gets the value of the left"
ROUND,Kern,N,Rounds number (or number/divisor) to nearest integer. The second returned value is the remainder.
ROW-MAJOR-AREF,Kern,N,Return the element of array corresponding to the row-major index. This is SETFable.
RPLACA,Kern,N,Change the CAR of CONS to X and return the CONS.
RPLACD,Kern,N,Change the CDR of CONS to X and return the CONS.
SAFETY,Kern,N,Optimize quality: amount of runtime checking.
SATISFIES,Kern,N,Type specifier: satisfies a predicate.
SBIT,Kern,N,Return the bit from SIMPLE-BIT-ARRAY at the specified SUBSCRIPTS.
SCALE-FLOAT,Kern,N,"Return the value (* f (expt (float 2 f) ex)), but with no unnecessary loss of precision or overflow."
SCHAR,Kern,N,"SCHAR returns the character object at an indexed position in a string just as CHAR does, except the string must be a simple-string."
SEARCH,Kern,N,Searches for a subsequence within a sequence.
SECOND,Kern,J,Return the 2nd object in a list or NIL if there is no 2nd object.
SEQUENCE,Kern,N,Type: root of list and vector.
SERIOUS-CONDITION,Kern,N,Type: root of conditions requiring handling.
SET,Kern,N,Set SYMBOL's value cell to NEW-VALUE.
SET-DIFFERENCE,Kern,J,Return the elements of LIST1 which are not in LIST2.
SET-DISPATCH-MACRO-CHARACTER,Kern,N,Cause FUNCTION to be called whenever the reader reads DISP-CHAR followed by SUB-CHAR.
SET-EXCLUSIVE-OR,Kern,N,Return new list of elements appearing exactly once in LIST1 and LIST2.
SET-MACRO-CHARACTER,Kern,N,"Causes CHAR to be a macro character which invokes FUNCTION when seen by the reader. The NON-TERMINATINGP flag can be used to make the macro character non-terminating, i.e. embeddable in a symbol name."
SET-PPRINT-DISPATCH,Kern,N,Sets a pprint-dispatch rule.
SET-SYNTAX-FROM-CHAR,Kern,N,Causes the syntax of TO-CHAR to be the same as FROM-CHAR in the optional readtable (defaults to the current readtable). The FROM-TABLE defaults to the standard Lisp readtable when NIL.
SETF,Macro,J,Takes pairs of arguments like SETQ. The first is a place and the second is the value that is supposed to go into that place. Returns the last value. The place argument may be any of the access forms f
SETQ,Kern,J,Special form: assigns values to variables.
SEVENTH,Kern,N,Return the 7th object in a list or NIL if there is no 7th object.
SHADOW,Kern,N,"Make an internal symbol in PACKAGE with the same name as each of the specified SYMBOLS. If a symbol with the given name is already present in PACKAGE, then the existing symbol is placed in the shadowi"
SHADOWING-IMPORT,Kern,N,"Import SYMBOLS into package, disregarding any name conflict. If a symbol of the same name is present, then it is uninterned."
SHARED-INITIALIZE,Kern,N,Initializes slots of an instance (CLOS internals).
SHIFTF,Macro,N,"One or more SETF-style place expressions, followed by a single value expression. Evaluates all of the expressions in turn, then assigns the value of each expression to the place on its left, returning"
SHORT-FLOAT,Kern,N,Type: short-precision float.
SHORT-FLOAT-EPSILON,Kern,N,Smallest short-float e with 1.0+e != 1.0.
SHORT-FLOAT-NEGATIVE-EPSILON,Kern,N,Smallest short-float e with 1.0-e != 1.0.
SHORT-SITE-NAME,Kern,N,"Return a string with the abbreviated site name, or NIL if not known."
SIGNAL,Kern,N,"Invokes the signal facility on a condition formed from DATUM and ARGUMENTS. If the condition is not handled, NIL is returned. If (TYPEP condition *BREAK-ON-SIGNALS*) is true, the debugger is invoked b"
SIGNED-BYTE,Kern,N,Type: signed integer of any size.
SIGNUM,Kern,N,"If NUMBER is zero, return NUMBER, else return (/ NUMBER (ABS NUMBER))."
SIMPLE-ARRAY,Kern,N,Type: non-adjustable array without fill-pointer.
SIMPLE-BASE-STRING,Kern,N,Type: simple vector of base-chars.
SIMPLE-BIT-VECTOR,Kern,N,Type: simple one-dimensional bit array.
SIMPLE-BIT-VECTOR-P,Kern,N,"Return true if OBJECT is a SIMPLE-BIT-VECTOR, and NIL otherwise."
SIMPLE-CONDITION,Kern,N,Condition type with format control and args.
SIMPLE-CONDITION-FORMAT-ARGUMENTS,Kern,N,Reader: format args of a simple-condition.
SIMPLE-CONDITION-FORMAT-CONTROL,Kern,N,Reader: format control of a simple-condition.
SIMPLE-ERROR,Kern,N,Simple condition type for errors.
SIMPLE-STRING,Kern,N,Type: simple vector of characters.
SIMPLE-STRING-P,Kern,N,"Return true if OBJECT is a SIMPLE-STRING, and NIL otherwise."
SIMPLE-TYPE-ERROR,Kern,N,Simple condition type for type errors.
SIMPLE-VECTOR,Kern,N,Type: simple one-dimensional general vector.
SIMPLE-VECTOR-P,Kern,N,"Return true if OBJECT is a SIMPLE-VECTOR, and NIL otherwise."
SIMPLE-WARNING,Kern,N,Simple condition type for warnings.
SIN,Kern,N,Return the sine of NUMBER.
SINGLE-FLOAT,Kern,N,Type: single-precision float.
SINGLE-FLOAT-EPSILON,Kern,N,Smallest single-float e with 1.0+e != 1.0.
SINGLE-FLOAT-NEGATIVE-EPSILON,Kern,N,Smallest single-float e with 1.0-e != 1.0.
SINH,Kern,N,Return the hyperbolic sine of NUMBER.
SIXTH,Kern,N,Return the 6th object in a list or NIL if there is no 6th object.
SLEEP,Kern,J,This function causes execution to be suspended for SECONDS. SECONDS may be any non-negative real number.
SLOT-BOUNDP,Kern,N,Predicate: is a slot bound in an instance?
SLOT-EXISTS-P,Kern,N,Predicate: does a slot exist on an instance?
SLOT-MAKUNBOUND,Kern,N,Makes a slot of an instance unbound.
SLOT-MISSING,Kern,N,Called when a slot is missing on an instance.
SLOT-UNBOUND,Kern,N,Called when reading an unbound slot.
SLOT-VALUE,Kern,N,Reader: value of a slot in an instance.
SOFTWARE-TYPE,Kern,N,Return a string describing the supporting software.
SOFTWARE-VERSION,Kern,N,"Return a string describing version of the supporting software, or NIL if not available."
SOME,Kern,N,"Apply PREDICATE to the 0-indexed elements of the sequences, then possibly to those with index 1, and so on. Return the first non-NIL value encountered, or NIL if the end of any sequence is reached."
SORT,Kern,N,Destructively sort SEQUENCE. PREDICATE should return non-NIL if ARG1 is to precede ARG2.
SPACE,Kern,N,Optimize quality: memory usage.
SPECIAL,Kern,N,Declaration: variable is dynamically scoped.
SPECIAL-OPERATOR-P,Kern,N,"If the symbol globally names a special form, return T, otherwise NIL."
SPEED,Kern,N,Optimize quality: runtime speed.
SQRT,Kern,N,Return the square root of NUMBER.
STABLE-SORT,Kern,N,Destructively sort SEQUENCE. PREDICATE should return non-NIL if ARG1 is to precede ARG2.
STANDARD,Kern,N,Method combination type 'standard'.
STANDARD-CHAR,Kern,N,Type corresponding to the characters required by the standard.
STANDARD-CHAR-P,Kern,N,The argument must be a character object. STANDARD-CHAR-P returns T if the argument is a standard character -- one of the 95 ASCII printing characters or <return>.
STANDARD-CLASS,Kern,N,Type: class of standard classes.
STANDARD-GENERIC-FUNCTION,Kern,N,Type: standard generic function.
STANDARD-METHOD,Kern,N,Type: standard method.
STANDARD-OBJECT,Kern,N,Type: root of standard-object hierarchy.
STEP,Macro,N,The form is evaluated with single stepping enabled. Function calls outside the lexical scope of the form can be stepped into only if the functions in question have been compiled with sufficient DEBUG 
STORAGE-CONDITION,Kern,N,Condition type for storage (memory) errors.
STORE-VALUE,Kern,N,"Transfer control and VALUE to a restart named STORE-VALUE, or return NIL if none exists."
STREAM,Kern,N,Type: root of all streams.
STREAM-ELEMENT-TYPE,Kern,N,Return a type specifier for the kind of object returned by the STREAM. The class FUNDAMENTAL-CHARACTER-STREAM provides a default method which returns CHARACTER.
STREAM-ERROR,Kern,N,Condition type for stream errors.
STREAM-ERROR-STREAM,Kern,N,Reader: stream of a stream-error condition.
STREAM-EXTERNAL-FORMAT,Kern,N,Reader: external format of a stream.
STREAMP,Kern,N,Predicate: is the argument a stream?
STRING,Kern,N,"Coerces X into a string. If X is a string, X is returned. If X is a symbol, its name is returned. If X is a character then a one element string containing that character is returned. If X cannot be co"
STRING-CAPITALIZE,Kern,N,Copy of string with each word capitalized.
STRING-DOWNCASE,Kern,J,Copy of string lowercased.
STRING-EQUAL,Kern,N,"Given two strings (string1 and string2), and optional integers start1, start2, end1 and end2, compares characters in string1 to characters in string2 (using char-equal)."
STRING-GREATERP,Kern,N,"Given two strings, if the first string is lexicographically greater than the second string, returns the longest common prefix (using char-equal) of the two strings. Otherwise, returns ()."
STRING-LEFT-TRIM,Kern,N,Removes chars from left end of string.
STRING-LESSP,Kern,N,"Given two strings, if the first string is lexicographically less than the second string, returns the longest common prefix (using char-equal) of the two strings. Otherwise, returns ()."
STRING-NOT-EQUAL,Kern,N,"Given two strings, if the first string is not lexicographically equal to the second string, returns the longest common prefix (using char-equal) of the two strings. Otherwise, returns ()."
STRING-NOT-GREATERP,Kern,N,"Given two strings, if the first string is lexicographically less than or equal to the second string, returns the longest common prefix (using char-equal) of the two strings. Otherwise, returns ()."
STRING-NOT-LESSP,Kern,N,"Given two strings, if the first string is lexicographically greater than or equal to the second string, returns the longest common prefix (using char-equal) of the two strings. Otherwise, returns ()."
STRING-RIGHT-TRIM,Kern,N,Removes chars from right end of string.
STRING-STREAM,Kern,N,Type: stream backed by a string.
STRING-TRIM,Kern,J,Removes chars from both ends of string.
STRING-UPCASE,Kern,J,Copy of string uppercased.
STRING/=,Kern,N,"Given two strings, if the first string is not lexicographically equal to the second string, returns the longest common prefix (using char=) of the two strings. Otherwise, returns ()."
STRING<,Kern,N,"Given two strings, if the first string is lexicographically less than the second string, returns the longest common prefix (using char=) of the two strings. Otherwise, returns ()."
STRING<=,Kern,N,"Given two strings, if the first string is lexicographically less than or equal to the second string, returns the longest common prefix (using char=) of the two strings. Otherwise, returns ()."
STRING=,Kern,N,"Given two strings (string1 and string2), and optional integers start1, start2, end1 and end2, compares characters in string1 to characters in string2 (using char=)."
STRING>,Kern,N,"Given two strings, if the first string is lexicographically greater than the second string, returns the longest common prefix (using char=) of the two strings. Otherwise, returns ()."
STRING>=,Kern,N,"Given two strings, if the first string is lexicographically greater than or equal to the second string, returns the longest common prefix (using char=) of the two strings. Otherwise, returns ()."
STRINGP,Kern,N,"Return true if OBJECT is a STRING, and NIL otherwise."
STRUCTURE,Kern,N,Type alias for structure-object.
